[Log] Region,Kön,Ålder,Födelseregion,2022M08
1492 Åmål,totalt,16-64 år,totalt,399
1493 Mariestad,totalt,16-64 år,totalt,414
1494 Lidköping,totalt,16-64 år,totalt,577
1495 Skara,totalt,16-64 år,totalt,337
1496 Skövde,totalt,16-64 år,totalt,1035
1497 Hjo,totalt,16-64 år,totalt,123
1498 Tidaholm,totalt,16-64 år,totalt,179
1499 Falköping,totalt,16-64 år,totalt,796
1715 Kil,totalt,16-64 år,totalt,223
1730 Eda,totalt,16-64 år,totalt,145
1737 Torsby,totalt,16-64 år,totalt,154
1760 Storfors,totalt,16-64 år,totalt,96
1761 Hammarö,totalt,16-64 år,totalt,225
1762 Munkfors,totalt,16-64 år,totalt,98
1763 Forshaga,totalt,16-64 år,totalt,264
1764 Grums,totalt,16-64 år,totalt,246
1765 Årjäng,totalt,16-64 år,totalt,139
1766 Sunne,totalt,16-64 år,totalt,153
1780 Karlstad,totalt,16-64 år,totalt,2265
1781 Kristinehamn,totalt,16-64 år,totalt,680
1782 Filipstad,totalt,16-64 år,totalt,323
1783 Hagfors,totalt,16-64 år,totalt,209
1784 Arvika,totalt,16-64 år,totalt,340
1785 Säffle,totalt,16-64 år,totalt,477
1814 Lekeberg,totalt,16-64 år,totalt,116
1860 Laxå,totalt,16-64 år,totalt,153
1861 Hallsberg,totalt,16-64 år,totalt,316
1862 Degerfors,totalt,16-64 år,totalt,253
1863 Hällefors,totalt,16-64 år,totalt,205
1864 Ljusnarsberg,totalt,16-64 år,totalt,120
1880 Örebro,totalt,16-64 år,totalt,4506
1881 Kumla,totalt,16-64 år,totalt,435
1882 Askersund,totalt,16-64 år,totalt,154
1883 Karlskoga,totalt,16-64 år,totalt,725
1884 Nora,totalt,16-64 år,totalt,219
1885 Lindesberg,totalt,16-64 år,totalt,544
1904 Skinnskatteberg,totalt,16-64 år,totalt,102
1907 Surahammar,totalt,16-64 år,totalt,227
1960 Kungsör,totalt,16-64 år,totalt,289
1961 Hallstahammar,totalt,16-64 år,totalt,417
1962 Norberg,totalt,16-64 år,totalt,149
1980 Västerås,totalt,16-64 år,totalt,5055
1981 Sala,totalt,16-64 år,totalt,556
1982 Fagersta,totalt,16-64 år,totalt,541
1983 Köping,totalt,16-64 år,totalt,799
